NPP_capacity,NPP_capex_alpha,NPP_FOM_alpha,NPP_VOM_alpha,BOP_capacity,BOP_minimum,BOP_capex_alpha,BOP_FOM_alpha,BOP_VOM_alpha,TES_capacity,TES_capex_alpha,TES_FOM_alpha,TES_VOM_alpha,TES_sqrt_rte,PointProbability,ProbabilityWeight
0.6,-1200000000.0,-41600000.0,-8257.4,0.4,0.0,-633333333.3333334,-60000000.0,0.0,1.0,-5143333.333333334,-14000.0,-11666.666666666668,0.7430920467222157,1.0,1.0
0.6,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.0,-633333333.3333334,-60000000.0,0.0,1.0,-5143333.333333334,-14000.0,-11666.666666666668,0.7430920467222157,1.0,1.0
0.6,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.0,-500000000.0,-60000000.0,0.0,1.0,-5143333.333333334,-14000.0,-11666.666666666668,0.7430920467222157,1.0,1.0
0.6,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.0,-500000000.0,-60000000.0,0.0,1.0,-11572000.0,-14000.0,-11666.666666666668,0.7430920467222157,1.0,1.0
0.6,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.0,-500000000.0,-60000000.0,0.0,1.0,-11572000.0,-14000.0,-29000.0,0.7430920467222157,1.0,1.0
0.6,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.19999999999999998,-500000000.0,-60000000.0,0.0,1.0,-11572000.0,-14000.0,-29000.0,0.7430920467222157,1.0,1.0
0.6,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.19999999999999998,-500000000.0,-60000000.0,0.0,3.6666666666666665,-11572000.0,-14000.0,-29000.0,0.7430920467222157,1.0,1.0
0.6,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.19999999999999998,-500000000.0,-60000000.0,0.0,3.6666666666666665,-11572000.0,-33333.33333333333,-29000.0,0.7430920467222157,1.0,1.0
0.8666666666666667,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.19999999999999998,-500000000.0,-60000000.0,0.0,3.6666666666666665,-11572000.0,-33333.33333333333,-29000.0,0.7430920467222157,1.0,1.0
0.8666666666666667,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.19999999999999998,-500000000.0,-60000000.0,-1333.3333333333333,3.6666666666666665,-11572000.0,-33333.33333333333,-29000.0,0.7430920467222157,1.0,1.0
0.8666666666666667,-1466666666.6666667,-41600000.0,-8257.4,0.4,0.19999999999999998,-500000000.0,-60000000.0,-1333.3333333333333,3.6666666666666665,-11572000.0,-33333.33333333333,-29000.0,0.9643650760992956,1.0,1.0
0.8666666666666667,-1466666666.6666667,-41600000.0,-7155.4,0.4,0.19999999999999998,-500000000.0,-60000000.0,-1333.3333333333333,3.6666666666666665,-11572000.0,-33333.33333333333,-29000.0,0.9643650760992956,1.0,1.0
0.8666666666666667,-1466666666.6666667,-41600000.0,-7155.4,0.6,0.19999999999999998,-500000000.0,-60000000.0,-1333.3333333333333,3.6666666666666665,-11572000.0,-33333.33333333333,-29000.0,0.9643650760992956,1.0,1.0
